ax,ay,az,gx,gy,gz,toe,heel
-0.2142,0.3362,1.3498,6.37,-22.33,-1.96,8,4
-0.4968,0.0639,1.0287,-10.71,54.53,-5.6,6,8
-0.7344,0.0547,0.7383,-2.45,60.55,-8.61,14,6
-0.7749,0.0117,0.487,6.23,17.99,-7.07,8,7
-0.8101,-0.0024,0.3689,0.98,-36.96,1.19,12,6
-0.5871,0.2708,0.976,24.15,-67.69,10.01,8,2
-0.3821,0.1864,1.2293,-9.66,23.38,-5.6,8,6
-0.6329,0.0576,0.8789,-1.4,63.21,-5.6,9,10
-0.8228,-0.0307,0.5592,6.65,32.34,-4.34,1,11
-0.7642,-0.0166,0.3802,13.16,-19.74,4.34,7,7
-0.7813,0.1684,0.3055,-13.86,-71.47,4.55,4,7
-0.5397,0.7218,1.3493,24.99,-97.23,12.11,7,4
-0.2562,0.1737,1.3474,-21.63,23.66,-6.65,7,8
-0.6022,0.0254,0.9306,-5.18,78.19,-3.01,0,8
-0.8325,0.0464,0.5871,-7.7,48.51,-10.57,2,12
-0.7618,-0.0063,0.3782,20.72,-3.5,7.49,7,1
-0.7383,0.1903,0.3079,-22.4,-54.88,16.45,0,10
-0.49,-0.0356,1.0873,94.5,-72.1,33.67,8,8
-0.2499,0.3811,1.32,5.25,17.92,-1.05,10,7
-0.7008,0.1176,0.9794,-4.69,83.93,-6.44,1,8
-0.8755,-0.0712,0.4792,40.74,45.43,16.45,4,3
-0.9736,0.6046,0.2435,-9.45,-2.17,52.99,8,8
-0.3152,-0.2123,0.2499,-82.25,-23.38,45.15,2,7
-1.706,1.4728,1.5548,-183.75,-102.48,28.56,7,8
-0.7037,1.2259,1.0243,289.17,-108.15,60.06,8,7
0.1674,-0.4782,1.3742,0,9.87,23.8,8,5
-0.5187,0.2894,1.0838,-53.55,85.05,12.25,2,0
-1.178,-0.2821,0.8032,-36.89,71.54,20.3,3,0
-1.0199,0.246,0.365,56.21,20.58,19.81,7,5
-0.4978,-0.1142,0.3357,-8.68,-26.67,-45.22,3,4
-0.3514,0.0839,0.3138,26.88,-18.34,-68.6,7,6
0.2645,-0.8374,0.9862,24.22,-50.47,13.51,6,8
-0.2225,-0.1854,1.3137,1.33,-2.52,-1.12,6,5
-0.4821,0.0991,1.1366,-4.97,87.71,-8.05,2,7
-0.9267,-0.3167,0.6451,8.68,66.71,-19.04,8,4
-0.792,0.2133,0.2098,108.43,15.4,-3.78,8,2
-0.5344,0.1923,0.3523,-49.98,-63.42,-25.41,8,7
-0.1327,-0.1132,0.2791,19.81,-34.37,-25.06,2,4
-3.5595,0.1074,1.7397,-228.55,-188.44,1.12,9,7
-0.5119,1.2688,1.1707,69.44,-137.27,1.54,8,3
-0.5646,0.2816,0.9365,42.21,29.61,-3.85,12,6
-0.6183,0.1732,0.9809,17.71,100.8,-30.8,5,7
-1.0097,-0.3436,0.5651,-1.05,64.82,-41.79,7,5
-0.9745,0.3377,0.4734,69.09,-21.7,-11.34,5,3
-0.2098,0.0498,0.3558,-2.66,-21.91,-2.31,8,4
-0.2572,0.1279,0.4128,14.63,-2.03,19.18,8,10
0.1571,-1.9281,0.285,110.11,-68.74,5.18,3,2
0.589,-0.1059,1.8222,-74.69,-80.85,19.6,8,15
-0.5334,0.0937,0.8896,-53.13,30.38,-0.21,5,4
-0.6237,0.3748,0.8345,-18.27,32.83,0.35,5,5
-0.7413,-0.059,0.6525,-12.18,3.99,9.17,3,12
-0.7354,0.0503,0.7408,6.58,-30.31,16.52,16,7
-0.3011,0.3387,1.1043,-11.9,-32.69,4.55,8,6
-0.5724,0.1571,0.8433,5.88,5.6,1.47,9,1
-0.6046,0.0747,0.8306,4.48,0.91,1.47,5,8
-0.6359,0.1254,0.8223,0.49,-9.24,1.12,0,8
-0.5485,0.103,0.8545,2.45,-3.57,1.54,3,10
-0.5641,0.1064,0.8472,-1.82,-0.98,0.84,6,0
-0.5641,0.0849,0.8428,-0.63,-3.15,0.91,8,6
-0.5632,0.1015,0.8545,-0.49,-2.38,1.54,4,3
-0.5734,0.1064,0.8501,-1.54,-1.47,0.91,4,8
-0.5724,0.102,0.852,-0.42,-1.82,0.98,4,10
-0.5612,0.0966,0.8506,0.42,-2.38,1.19,0,8
-0.5675,0.1191,0.8447,-2.38,-1.61,-0.07,7,7
-0.571,0.1054,0.8467,-1.96,-2.1,0.07,8,8
-0.5661,0.1196,0.8442,-3.08,-2.8,-1.05,3,12
-0.5744,0.0874,0.8438,0.77,-3.99,-0.21,9,6
-0.5612,0.0825,0.8501,0.98,-4.27,0.28,3,9
-0.55,0.124,0.8725,3.29,-2.66,0.49,8,16
-0.6388,0.1249,0.9013,11.55,-15.4,3.64,0,31
-0.3943,0.0903,0.854,15.89,-12.32,2.73,0,54
-0.7388,0.0854,0.8877,16.38,-19.46,6.44,4,84
-0.4402,0.1786,0.8257,7.98,-12.95,6.3,6,115
-0.429,0.1196,0.8291,2.87,-4.34,3.36,7,141
-0.3118,0.1869,0.7969,-4.13,17.99,-3.5,10,138
-0.3802,0.185,0.8076,-35.35,38.78,-8.19,10,77
-1.0941,-0.2328,0.852,-38.99,4.55,-4.55,7,22
-0.4494,0.1,0.8843,2.8,18.76,-2.17,1,16
-0.6217,0.0615,0.8164,-2.73,18.34,-3.92,9,16
-0.6681,0.04,0.754,1.68,6.44,0.28,8,13
-0.6778,0.0542,0.7286,4.48,-13.58,4.06,10,12
-0.5246,0.1342,0.8984,3.01,-18.41,4.06,3,10
-0.4412,0.2011,1.0258,-3.57,12.39,-5.46,4,12
-0.6012,0.0454,0.8682,0.91,36.47,-6.51,8,15
-0.7637,0.0986,0.5485,24.22,14.63,-5.39,4,12
-0.7793,0.0127,0.5612,15.54,-31.29,-1.61,4,14
-0.6271,0.0088,0.7584,1.05,-58.59,7.42,9,10
-0.3528,0.0761,1.1912,-9.03,-1.12,-6.79,3,10
-0.4973,0.0586,1.0292,-12.11,44.52,-4.13,6,7
-0.8423,-0.0293,0.6051,18.76,27.65,1.54,4,8
-0.7559,0.0342,0.486,11.27,-22.96,2.45,6,6
-0.4377,0.1459,1.0038,2.59,-37.1,1.19,7,13
-0.407,0.1054,1.1605,-6.3,29.19,-8.4,6,7
-0.7408,0.141,0.7701,12.81,49.14,-2.94,6,1
-0.6817,0.2089,0.4992,52.08,8.68,8.68,10,16
-0.5705,0.2752,0.3504,-4.06,-26.25,22.26,8,4
-1.1136,-0.8223,0.8926,-27.65,-66.5,9.17,5,16
-0.4826,-0.1879,1.1522,9.87,-8.47,-1.33,5,10
-0.6403,0.161,0.8028,-7.14,27.79,-0.28,0,8
-0.5958,0.2011,0.7818,-8.68,19.67,-5.25,8,16
-0.6422,0.101,0.8032,-15.33,18.97,-3.5,5,7
-0.6778,0.0112,0.7632,5.6,17.5,-0.98,6,6
-0.7037,0.0966,0.6856,5.46,5.53,0.63,8,6
-0.7305,0.0703,0.631,-1.96,-16.24,3.5,8,3
-0.6305,0.0595,0.7286,0.49,-34.93,7.91,8,4
-0.4914,0.2289,1.0463,-2.38,-9.03,-2.17,7,8
-0.6032,0.0468,0.896,0.77,24.71,-3.43,6,12
-0.7462,0.0908,0.5919,5.39,11.2,0.63,3,4
-0.7745,0.0342,0.5685,1.19,-29.54,4.76,11,14
-0.7222,0.0381,0.6705,-1.47,-64.33,13.51,6,10
-0.3475,0.2904,1.1829,-5.53,-36.68,0.7,3,10
-0.5124,0.02,0.9721,-2.31,15.12,0.07,7,0
-0.6905,0.0966,0.7222,11.06,18.41,1.68,4,4
-0.7086,0.1186,0.6612,2.17,-10.99,3.64,6,10
-0.4919,0.1205,0.8003,4.55,-26.74,2.8,5,3
-0.4602,0.06,1.0277,-2.87,11.41,-3.85,16,8
-0.6134,0.1279,0.8608,-12.67,31.29,-1.61,9,4
-0.7154,0.0747,0.6925,0.42,18.41,-3.29,5,9
-0.7623,0.0171,0.6076,4.62,-20.09,-2.24,10,5
-0.5305,0.1342,0.8418,2.38,-41.16,5.18,6,10
-0.3875,0.2133,1.138,-10.92,13.44,-9.45,10,13
-0.6627,0.1479,0.8003,35.14,34.79,-30.94,6,9
-0.7662,0.0586,0.6378,55.3,2.45,-42.49,9,10
-0.673,0.2796,0.5402,32.76,-33.81,-48.3,8,3
-0.5144,0.1688,1.1531,10.5,-22.61,-14.63,8,1
-0.4807,0.3426,1.056,3.92,36.05,9.66,7,8
-0.8926,-0.1366,0.8394,-15.19,43.82,10.15,9,8
-0.8272,0.246,0.4304,18.9,12.81,14.77,8,4
-0.3396,0.5226,0.4729,-19.88,11.41,32.34,6,12
-0.6705,-0.8335,1.0912,-31.99,-5.88,84.35,3,7
-0.6193,-0.2552,0.9775,-128.38,34.58,143.78,9,8
-0.7154,0.0473,0.7383,-133.56,42.07,150.01,3,6
-0.7252,0.1479,0.5846,-129.99,11.34,120.54,7,7
-0.65,0.3231,0.6017,-104.65,-29.19,91.28,7,9
-0.466,1.0941,1.0756,20.79,-34.72,12.25,7,2
-0.569,-0.447,1.1268,-44.38,4.2,-62.02,5,7
-0.6476,0.303,0.8003,22.61,28.21,-92.82,3,9
-0.7715,0.2098,0.6715,95.55,6.23,-113.82,7,7
-0.7115,0.0049,0.4831,108.01,-45.5,-108.92,6,7
-0.8169,-0.042,0.732,111.16,-88.06,-96.11,5,7
-0.0913,-0.0166,1.4391,5.39,-33.18,-33.39,6,6
-0.3972,0.0415,1.1248,33.74,74.06,20.44,10,8
-0.7808,0.3338,0.8213,-23.31,85.96,10.36,8,7
-0.8935,-0.0839,0.386,-5.67,25.13,15.54,4,8
-0.7076,0.1,0.2094,-17.36,-30.1,19.32,2,8
-0.7462,-0.0605,0.7003,-57.54,-66.71,48.58,10,8
-0.3177,0.6159,1.1873,-64.05,-67.83,41.23,8,8
-0.2552,0.4236,1.1995,-3.08,18.41,-3.85,10,0
-0.6427,-0.0166,0.8213,-0.14,48.02,-6.09,12,6
-0.7574,0.0864,0.55,-4.83,14.14,-2.73,5,3
-0.7154,0.1488,0.651,-3.01,-30.66,-12.95,4,5
-0.5539,0.1488,0.9599,10.01,-24.64,-43.68,10,9
-0.5427,0.1659,0.9409,53.13,9.1,-63.63,12,5
-0.6773,0.1601,0.7398,70,10.36,-69.65,9,8
-0.692,0.042,0.6412,60.27,-15.54,-61.18,12,5
-0.6451,0.0102,0.8159,32.2,-34.86,-23.38,5,9
-0.5353,-0.2372,1.0014,51.94,-4.55,37.94,4,3
-0.5183,-0.3953,0.9614,-70.77,39.48,79.59,5,8
-0.7198,0.0098,0.7208,-84.91,38.5,93.31,5,4
-0.7462,0.022,0.5461,-91.56,1.75,94.5,11,8
-0.7432,0.1737,0.6256,-53.27,-37.03,81.13,14,6
-0.3587,0.4329,1.0858,10.85,-17.78,1.54,8,4
-0.4621,-0.1991,1.078,-6.37,45.15,-21.28,5,8
-0.7198,0.1147,0.7896,15.47,66.78,-18.83,3,7
-0.812,0.0366,0.4197,25.69,11.83,-26.39,8,7
-0.7447,0.0869,0.3343,32.55,-39.83,-29.75,0,6
-1.2429,-0.385,0.632,14.49,-108.64,-23.87,8,3
-0.1498,0.2372,1.4767,-16.03,-29.33,-14.14,9,0
-0.4978,0.162,1.12,-6.02,70.49,-9.52,10,5
-0.915,0.1484,0.6739,2.66,63.49,-21.35,5,6
-0.7462,0.0273,0.4036,22.26,1.61,-27.86,6,4
-0.6812,0.0883,0.2323,59.29,-54.04,-32.13,5,6
-0.6202,-0.4172,0.8242,77.63,-97.93,-5.88,14,8
-0.1806,0.1171,1.3776,53.55,-33.53,20.65,3,9
-0.4036,0.3416,1.036,-26.53,58.52,13.09,5,3
-0.7662,0.0844,0.711,-25.83,60.9,27.58,8,6
-0.7779,-0.0102,0.4719,-48.65,9.59,43.68,3,7
-0.9389,-0.0517,0.5129,-18.48,-47.46,54.32,7,4
-0.2943,0.854,1.2854,12.39,-40.88,-22.89,5,9
-0.5026,-0.2826,1.0429,-2.59,54.32,-46.69,5,7
-0.792,-0.0566,0.6686,20.65,56.56,-63.07,7,13
-0.7837,0.0683,0.4446,53.2,11.2,-65.24,5,4
-0.7945,-0.1225,0.3948,61.11,-42.84,-52.99,7,6
-0.8613,-0.2704,0.5944,67.48,-87.29,-14.14,5,9
-0.3938,-0.4436,1.2649,16.94,-69.44,22.19,6,6
-0.3675,0.142,1.1878,-1.12,33.39,4.13,5,8
-0.6232,0.0063,0.8369,-23.1,64.05,14.84,8,8
-0.8052,0.0122,0.5988,-35,36.12,35.63,6,10
-0.7701,0.0078,0.4412,-49.84,-8.54,53.13,9,5
-0.8467,0.1972,0.6651,-18.41,-52.99,57.26,5,9
-0.3499,0.3997,1.2073,5.95,-23.24,11.62,0,8
-0.5212,-0.082,1.0228,-10.5,37.24,-11.55,3,1
-0.7257,-0.0015,0.7413,14.91,51.03,-3.78,7,3
-0.7764,0.0566,0.4909,-6.02,5.04,1.61,6,7
-0.8257,0.0249,0.5241,-16.87,-51.1,15.12,7,7
-0.5339,0.0761,1.0253,-10.22,-43.47,28.07,8,9
-0.4202,0.2308,1.0873,-17.43,16.31,16.45,11,4
-0.6486,0.0878,0.8579,-16.24,46.97,16.38,7,8
