ax,ay,az,gx,gy,gz,toe,heel
-0.5744,0.0966,0.8491,-0.35,-2.31,0.98,6,445
-0.5719,0.0966,0.8442,-0.42,-2.45,1.4,9,445
-0.571,0.0971,0.8438,-0.77,-2.38,1.12,5,456
-0.5724,0.0976,0.8477,-0.49,-2.17,1.26,7,454
-0.5685,0.0956,0.8481,-0.35,-2.45,1.12,7,449
-0.5685,0.0971,0.8462,-0.14,-2.52,0.91,5,451
-0.571,0.0961,0.8481,-0.42,-2.59,0.91,8,450
-0.5719,0.0961,0.8462,-0.21,-2.24,1.12,5,451
-0.5714,0.0966,0.8467,-0.35,-2.59,0.98,3,451
-0.5719,0.0952,0.8481,-0.42,-2.31,1.26,7,456
-0.5724,0.0971,0.8467,-0.35,-2.8,0.91,2,451
-0.5719,0.0966,0.8457,-0.49,-2.52,1.05,7,456
-0.5695,0.0942,0.8462,-0.63,-2.24,1.33,8,459
-0.5714,0.0952,0.8491,-0.49,-2.38,1.12,8,456
-0.571,0.0976,0.8413,-0.63,-2.17,1.4,4,454
-0.569,0.0947,0.8491,-0.49,-2.17,0.98,8,456
-0.5719,0.0971,0.8477,-0.84,-2.52,1.12,8,451
-0.5714,0.0976,0.8472,-0.56,-2.52,1.05,8,447
-0.5714,0.0971,0.8481,-0.28,-2.52,1.05,9,448
-0.5714,0.0952,0.8467,-0.49,-2.31,1.19,12,448
-0.5719,0.0932,0.8486,-0.49,-2.31,1.19,8,447
-0.5705,0.0976,0.8472,-0.42,-2.31,1.12,7,446
-0.5729,0.0976,0.8481,-0.42,-2.38,1.19,6,440
-0.5719,0.0942,0.8472,-0.35,-2.31,1.12,5,442
-0.5739,0.0986,0.8457,-0.35,-2.45,0.91,12,440
-0.569,0.0971,0.8506,-0.63,-2.31,1.19,7,439
-0.5729,0.0956,0.8447,-0.35,-2.52,0.91,6,444
-0.571,0.0981,0.8472,-0.56,-2.1,1.26,8,441
-0.571,0.0966,0.8481,-0.56,-2.38,1.19,7,441
-0.5719,0.0956,0.8491,-0.49,-2.52,1.05,11,444
-0.5705,0.0942,0.8452,-0.28,-1.82,1.05,3,438
-0.5724,0.0966,0.8452,-0.28,-2.38,1.19,7,435
-0.5729,0.0942,0.8472,-0.42,-2.38,1.26,7,435
-0.5714,0.0952,0.8467,-0.42,-2.45,1.05,8,435
-0.5729,0.0996,0.8457,-0.14,-2.52,0.91,5,435
-0.5719,0.0971,0.8462,-0.77,-2.17,1.33,6,436
-0.5695,0.0942,0.8481,-0.56,-2.38,1.05,5,437
-0.569,0.0937,0.8457,-0.42,-2.24,1.12,2,432
-0.571,0.0942,0.8418,-0.49,-1.68,1.26,8,431
-0.569,0.0947,0.8467,-0.56,-2.24,1.26,3,424
-0.5744,0.0986,0.8428,-0.42,-2.45,1.19,6,429
-0.5714,0.0952,0.8467,-0.77,-2.24,1.12,7,420
-0.5734,0.0927,0.8491,-0.42,-2.17,1.05,7,430
-0.5724,0.0961,0.8472,-0.49,-2.45,1.12,10,424
