ax,ay,az,gx,gy,gz,heel,toe
-0.5129,0.2020,0.9853,11.8300,199.3600,-10.8500,808,5
-0.6852,-0.0093,1.0868,3.5700,343.4200,-24.0100,437,4
-1.4152,-0.1181,0.9838,67.8300,421.3300,-2.7300,94,0
-2.5244,0.3216,0.7388,84.9800,308.4200,-30.1700,27,10
-0.9609,0.0732,1.5040,39.1300,-71.4000,-96.2500,20,12
0.2162,0.2240,0.7832,68.8800,-178.1500,-93.7300,13,9
-0.1122,0.2474,0.6978,68.7400,-217.8400,-2.7300,17,9
-0.4480,0.0761,0.7237,44.4500,-287.9100,76.5100,15,7
-0.6759,-0.3899,0.7671,89.4600,-325.8500,65.5900,17,12
-0.9965,-0.0869,0.8638,82.9500,-325.9900,21.7700,19,10
-1.1009,-0.0947,0.9623,74.5500,-301.9100,7.9100,10,8
-0.8076,0.1962,0.8652,38.7100,-199.7100,-6.3700,8,7
-1.3259,-0.3826,0.6310,81.3400,-64.5400,41.0900,18,2
-2.8123,0.0610,0.3626,83.7900,-66.5000,94.8500,15,8
-1.3893,-0.5168,-0.7759,1.1200,5.3900,9.3100,7,4
-1.8568,-0.4041,-0.8594,84.1400,62.9300,-65.1000,5,3
-2.5337,3.3926,0.0273,-165.8300,42.4200,-172.4100,14,8
-0.2708,0.4309,1.6646,337.5400,-22.8200,-57.3300,43,0
-0.0303,-1.0960,0.8662,-5.0400,-26.4600,-0.1400,309,9
-0.5168,-0.0517,0.8555,-2.3800,-7.4200,1.4700,446,7
-0.5451,0.0932,0.9077,10.6400,1.6800,-0.9100,537,7
-0.5046,0.0488,0.9189,0.2100,13.5800,2.7300,604,8
-0.4934,0.0986,0.9374,3.0100,31.8500,2.7300,639,6
-0.5456,0.0776,0.8886,6.7200,51.5900,2.8700,664,3
-0.6168,0.1122,0.7979,7.4200,52.9900,1.8200,685,7
-0.6593,0.1513,0.7540,7.2800,45.1500,-2.5200,684,9
-0.6705,0.1039,0.7584,2.1700,35.2800,-4.3400,700,8
-0.6876,0.0508,0.7354,1.6100,26.8800,-0.3500,721,3
-0.6891,0.1083,0.7525,5.0400,26.1100,-0.1400,752,10
-0.6852,0.1118,0.7554,3.1500,27.7200,-3.0100,778,0
-0.6852,0.0908,0.7525,4.1300,32.9700,-3.9900,783,1
-0.7427,0.0834,0.6856,7.5600,34.2300,-1.0500,776,9
-0.8262,0.1332,0.6105,1.8200,20.8600,-2.5200,696,3
-0.7320,0.2772,0.7754,-6.1600,-1.1900,-14.9100,571,2
-0.5915,0.1118,0.9038,-9.5900,36.4700,-30.8700,407,5
-0.6324,0.1283,0.8330,45.5700,92.0500,-56.6300,187,8
