ax,ay,az,gx,gy,gz,toe,heel
-0.9262,0.1972,0.7305,-78.96,316.33,-66.64,313,17
-1.1619,-0.1503,0.6539,-38.78,296.66,-53.06,26,19
-1.5211,0.0264,0.8267,-34.58,239.26,-49.28,14,20
-0.7828,-0.1264,0.8013,-21.63,227.5,-25.9,12,17
-0.5285,0.2821,1.9705,-4.97,157.57,-26.81,13,16
-1.3806,0.5622,2.3522,75.95,-24.22,-18.97,14,16
-0.2264,0.3372,1.6943,56.77,-163.66,-14.63,12,14
-0.6876,0.9238,1.2995,82.25,-279.58,21.98,10,10
-1.2371,0.0303,0.7364,67.97,-293.02,23.45,14,7
-0.9282,0.2196,0.8823,114.73,-308.84,54.67,13,12
-0.9399,0.2786,0.974,136.78,-323.05,87.01,16,17
-1.6943,0.3006,0.9658,70.35,-343.14,207.2,16,7
-2.2829,-0.4548,0.3104,83.93,-255.57,234.92,15,5
-2.5966,-0.814,-0.978,11.62,-149.73,91.28,13,11
-2.6084,-0.9101,-0.7359,117.11,26.81,49.35,0,16
-0.3445,-2.7196,-1.4869,-166.95,342.16,-161.28,7,770
-0.4255,1.3923,1.3054,-180.04,134.54,-99.47,7,925
-0.1815,1.0307,1.1034,49.84,8.05,-50.89,273,616
-0.6622,0.1625,0.855,-5.11,21.28,-19.32,551,179
-0.5588,0.2869,1.0926,8.61,49.63,-6.02,714,11
-0.1796,0.0937,1.4006,-5.18,169.12,-19.88,791,13
-0.3753,0.1449,0.9409,-41.16,310.38,-59.15,700,12
-1.5255,-0.0981,0.7398,-81.76,325.08,-67.83,127,16
-1.1629,0.1098,0.5549,-52.78,308.84,-50.68,13,17
-1.4303,-0.061,0.672,-11.41,206.57,-28.63,11,20
-0.6588,0.2894,1.0775,-67.83,160.65,-26.18,9,12
-0.5451,0.6403,2.177,14.91,29.4,-28.21,3,11
-0.896,0.7686,2.1521,9.38,-89.74,-28.98,13,10
-0.4285,0.61,1.5567,108.92,-213.78,6.58,11,9
-0.3401,0.508,0.9223,71.12,-264.6,18.76,17,10
-0.7803,0.5968,0.9653,97.65,-307.37,43.05,15,13
-0.8457,0.5065,0.9677,119.98,-315.49,81.97,10,8
-1.3923,0.5597,1.3137,118.09,-341.11,161.7,9,9
-2.0535,0.0361,1.0931,63.63,-307.93,243.32,4,6
-2.6132,-0.5056,0.0376,75.74,-230.37,164.78,13,6
-2.8167,-0.895,-1.7412,24.29,-85.33,32.27,11,9
-3.0119,-1.4396,-3.2428,-71.82,130.62,-11.97,10,151
-6.1532,1.4157,3.5029,170.31,288.82,-198.45,9,976
-0.0952,-1.5045,0.0917,-76.02,70.35,-25.76,65,737
-0.6954,-0.1762,0.8364,-60.06,35.21,-25.83,440,235
-0.6154,-0.0181,0.9321,16.24,60.48,-11.69,677,17
